municipality,eur_m2,period,source
Allonville,10.92,2025,Carte des loyers
Allonzier-la-Caille,16.42,2025,Carte des loyers
Allos,7.64,2025,Carte des loyers
Allouagne,8.28,2025,Carte des loyers
Alloue,7.01,2025,Carte des loyers
Allouis,7.83,2025,Carte des loyers
Allouville-Bellefosse,9.36,2025,Carte des loyers
Alluy,6.58,2025,Carte des loyers
Alluyes,8.16,2025,Carte des loyers
Ally,7.78,2025,Carte des loyers
Allègre,7.14,2025,Carte des loyers
Allègre-les-Fumades,9.94,2025,Carte des loyers
Allèves,13.03,2025,Carte des loyers
Allériot,10.06,2025,Carte des loyers
Almayrac,8.32,2025,Carte des loyers
Almenêches,7.92,2025,Carte des loyers
Almont-les-Junies,6.98,2025,Carte des loyers
Alos,7.22,2025,Carte des loyers
Alos-Sibas-Abense,9.43,2025,Carte des loyers
Aloxe-Corton,11.2,2025,Carte des loyers
Alquines,8.78,2025,Carte des loyers
Alrance,7.65,2025,Carte des loyers
Alsting,9.34,2025,Carte des loyers
Altagène,10.56,2025,Carte des loyers
Alteckendorf,9.39,2025,Carte des loyers
Altenach,10.38,2025,Carte des loyers
Altenheim,9.39,2025,Carte des loyers
Althen-des-Paluds,11.04,2025,Carte des loyers
Altiani,11.53,2025,Carte des loyers
Altier,6.53,2025,Carte des loyers
Altillac,7.12,2025,Carte des loyers
Altkirch,10.28,2025,Carte des loyers
Altorf,12.85,2025,Carte des loyers
Altrippe,8.09,2025,Carte des loyers
Altviller,8.09,2025,Carte des loyers
Altwiller,8.6,2025,Carte des loyers
Aluze,8.65,2025,Carte des loyers
Alvignac,9.86,2025,Carte des loyers
Alvimare,9.44,2025,Carte des loyers
Alzen,8.8,2025,Carte des loyers
Alzi,8.8,2025,Carte des loyers
Alzing,9.64,2025,Carte des loyers
Alzon,7.87,2025,Carte des loyers
Alzonne,8.09,2025,Carte des loyers
Alçay-Alçabéhéty-Sunharette,9.43,2025,Carte des loyers
Alès,9.34,2025,Carte des loyers
Alénya,11.73,2025,Carte des loyers
Aléria,11.17,2025,Carte des loyers
Amage,7.91,2025,Carte des loyers
Amagne,7.92,2025,Carte des loyers
Amagney,10.67,2025,Carte des loyers
Amailloux,7.6,2025,Carte des loyers
Amance,8.52,2025,Carte des loyers
Amancey,8.72,2025,Carte des loyers
Amancy,19.04,2025,Carte des loyers
Amange,10.1,2025,Carte des loyers
Amanlis,9.25,2025,Carte des loyers
Amanty,7.44,2025,Carte des loyers
Amanvillers,10.22,2025,Carte des loyers
Amanzé,7.38,2025,Carte des loyers
Amarens,7.22,2025,Carte des loyers
Amathay-Vésigneux,13.47,2025,Carte des loyers
Amayé-sur-Orne,10.69,2025,Carte des loyers
Amayé-sur-Seulles,7.72,2025,Carte des loyers
Amazy,6.71,2025,Carte des loyers
Ambacourt,7.06,2025,Carte des loyers
Ambarès-et-Lagrave,11.89,2025,Carte des loyers
Ambax,9.0,2025,Carte des loyers
Ambazac,8.25,2025,Carte des loyers
Ambel,9.98,2025,Carte des loyers
Ambenay,8.62,2025,Carte des loyers
Ambernac,6.35,2025,Carte des loyers
Amberre,7.4,2025,Carte des loyers
Ambert,7.06,2025,Carte des loyers
Ambeyrac,8.18,2025,Carte des loyers
Ambialet,8.32,2025,Carte des loyers
Ambiegna,14.63,2025,Carte des loyers
Ambierle,7.5,2025,Carte des loyers
Ambillou,8.91,2025,Carte des loyers
Ambilly,18.8,2025,Carte des loyers
Ambiévillers,7.55,2025,Carte des loyers
Amblainville,12.62,2025,Carte des loyers
Amblans-et-Velotte,7.6,2025,Carte des loyers
Ambleny,9.99,2025,Carte des loyers
Ambleteuse,10.46,2025,Carte des loyers
Ambleville,11.62,2025,Carte des loyers
Ambloy,8.62,2025,Carte des loyers
Ambly-Fleury,6.29,2025,Carte des loyers
Ambly-sur-Meuse,8.1,2025,Carte des loyers
Ambléon,9.79,2025,Carte des loyers
Amboise,10.76,2025,Carte des loyers
Ambon,11.08,2025,Carte des loyers
Ambonil,10.3,2025,Carte des loyers
Ambonnay,8.94,2025,Carte des loyers
Ambonville,6.16,2025,Carte des loyers
Ambrault,6.52,2025,Carte des loyers
Ambres,9.31,2025,Carte des loyers
Ambricourt,6.55,2025,Carte des loyers
Ambrief,9.99,2025,Carte des loyers
Ambrines,7.71,2025,Carte des loyers
Ambrières,7.63,2025,Carte des loyers
Ambrières-les-Vallées,6.51,2025,Carte des loyers
Ambronay,9.54,2025,Carte des loyers
Ambrugeat,6.9,2025,Carte des loyers
Ambrumesnil,9.1,2025,Carte des loyers
Ambrus,6.73,2025,Carte des loyers
Ambutrix,9.54,2025,Carte des loyers
Ambès,11.93,2025,Carte des loyers
Ambérac,7.26,2025,Carte des loyers
Ambérieu-en-Bugey,10.82,2025,Carte des loyers
Ambérieux,11.53,2025,Carte des loyers
Ambérieux-en-Dombes,11.22,2025,Carte des loyers
Amel-sur-l'Étang,9.43,2025,Carte des loyers
Amelécourt,8.36,2025,Carte des loyers
Amendeuix-Oneix,9.12,2025,Carte des loyers
Amenoncourt,7.07,2025,Carte des loyers
Amenucourt,11.62,2025,Carte des loyers
Ames,7.72,2025,Carte des loyers
Amettes,7.89,2025,Carte des loyers
Ameugny,9.79,2025,Carte des loyers
Ameuvelle,7.55,2025,Carte des loyers
Amfreville,11.36,2025,Carte des loyers
Amfreville-Saint-Amand,10.79,2025,Carte des loyers
Amfreville-la-Mi-Voie,10.74,2025,Carte des loyers
Amfreville-les-Champs,9.08,2025,Carte des loyers
Amfreville-sous-les-Monts,10.26,2025,Carte des loyers
Amfreville-sur-Iton,10.93,2025,Carte des loyers
Amiens,12.46,2025,Carte des loyers
Amifontaine,8.65,2025,Carte des loyers
Amigny,7.32,2025,Carte des loyers
Amigny-Rouy,9.45,2025,Carte des loyers
Amillis,11.89,2025,Carte des loyers
Amilly,9.78,2025,Carte des loyers
Amirat,11.0,2025,Carte des loyers
Ammerschwihr,10.13,2025,Carte des loyers
Amné,7.11,2025,Carte des loyers
Amnéville,13.28,2025,Carte des loyers
Amoncourt,7.39,2025,Carte des loyers
Amondans,10.67,2025,Carte des loyers
Amont-et-Effreney,7.8,2025,Carte des loyers
Amorots-Succos,10.97,2025,Carte des loyers
Amou,8.93,2025,Carte des loyers
Ampilly-le-Sec,7.16,2025,Carte des loyers
Ampilly-les-Bordes,8.51,2025,Carte des loyers
Amplepuis,9.26,2025,Carte des loyers
Amplier,8.53,2025,Carte des loyers
Amponville,11.19,2025,Carte des loyers
Ampriani,11.17,2025,Carte des loyers
Ampuis,11.67,2025,Carte des loyers
Ampus,9.74,2025,Carte des loyers
Amuré,9.12,2025,Carte des loyers
Amy,8.06,2025,Carte des loyers
Amécourt,9.0,2025,Carte des loyers
Amélie-les-Bains-Palalda,9.93,2025,Carte des loyers
Anais,10.75,2025,Carte des loyers
Anan,9.0,2025,Carte des loyers
Ance Féas,8.88,2025,Carte des loyers
Anceaumeville,9.07,2025,Carte des loyers
Ancelle,9.9,2025,Carte des loyers
