country,lat,lon,name
ES,28.1159,-14.3852,Playa de Cofete
ES,28.1173,-15.7048,El Juncal
ES,28.1182,-16.7743,Playa las Salinas
ES,28.1195,-16.776,Playa El Pinque
ES,28.1207,-16.4628,Playa de La Jaca
ES,28.1217,-16.7776,Playa Las Galgas
ES,28.1218,-16.4617,
ES,28.1258,-17.1042,Playa del Cangrejo
ES,28.1268,-17.3428,Playa de Heredia
ES,28.1273,-16.782,Playa de Ajabo
ES,28.1293,-17.1062,Playa del Águila
ES,28.1298,-15.4507,Plaza El Yoret
ES,28.1299,-14.245,Playa Esmeralda
ES,28.1303,-15.4507,
ES,28.1307,-15.4505,
ES,28.1307,-15.429,Playa de Las Alcaravaneras
ES,28.1311,-15.7002,Playa del Lagarto
ES,28.1316,-17.1104,Playa de Chigadá
ES,28.1317,-14.3405,Playa Barlovento
ES,28.1337,-17.1128,
ES,28.1338,-16.7863,
ES,28.1354,-17.1139,Playa del Águila
ES,28.1367,-16.4432,Caleta de Teodoso
ES,28.1395,-15.4398,Playa de Las Canteras
ES,28.1405,-17.3428,Playa de Guariñén
ES,28.1427,-16.4368,Playa Cardones
ES,28.1431,-16.4389,Playa de los Abriguitos
ES,28.1441,-17.1157,Playa Majona
ES,28.1443,-15.5995,Playa San Felipe
ES,28.1452,-15.5823,
ES,28.1454,-14.3134,Playa Larga
ES,28.1463,-14.2337,Playa de Pájara
ES,28.1465,-15.5898,
ES,28.148,-15.6969,
ES,28.1495,-14.2307,
ES,28.1501,-15.5356,Playa Bocabarranco
ES,28.1511,-15.6964,
ES,28.1513,-14.2295,
ES,28.1514,-15.5344,Playa de Puertillo
ES,28.152,-15.6967,Playa de Sardina
ES,28.1521,-17.1234,Playa Majona
ES,28.1526,-16.4317,Playa Grande
ES,28.1538,-17.1295,Playa Molino
ES,28.1538,-15.6989,Playa El Muelle
ES,28.1543,-17.1301,Playa Molino
ES,28.1545,-15.7001,Playa El Roquete
ES,28.1556,-17.1331,
ES,28.1568,-16.8016,Playa del Barranco de Erques
ES,28.1573,-17.3389,
ES,28.1585,-15.6704,Playa Dos Roques
ES,28.1585,-15.6654,Playa de Bocabarranco
ES,28.1595,-15.436,Playa del Confital
ES,28.1595,-14.2194,Playa de Costa Calma
ES,28.1611,-15.6739,Playa Punta del Clavo
ES,28.1612,-15.6609,Playa el Agujero
ES,28.162,-15.6813,Playa Caleta de Abajo
ES,28.1623,-15.7089,
ES,28.1631,-17.1499,Playa y Fuente de Tejigüel
ES,28.1637,-17.3348,Playa de Alojera
ES,28.1643,-16.4315,Playa el Porís
ES,28.1648,-17.152,Playa de Teguijuel
ES,28.1671,-14.2082,Rio Calma Artificial Beach
ES,28.1683,-17.1563,Playa de los Incendios
ES,28.1713,-14.2037,Matas Bay - El Rancho Beach
ES,28.1715,-14.1988,Playa El Rancho
ES,28.1719,-17.3357,Playa de Trigo
ES,28.1719,-16.8055,Playa de Abama
ES,28.1735,-17.1664,Playa de la Caleta de Hermigua
ES,28.1744,-16.8067,
ES,28.1751,-14.1834,Playa de la Jaqueta
ES,28.1752,-14.1709,Playa de Puerto Rico
ES,28.1754,-14.1731,
ES,28.1775,-14.1634,Playa de La Lajita
ES,28.1781,-16.811,Playa de San Juan
ES,28.1798,-16.8132,Playa de San Juan
ES,28.1801,-14.1553,Playa La Lajita
ES,28.1804,-16.8148,
ES,28.1806,-17.1808,Playa Santa Catalina
ES,28.1825,-14.1512,Playa La Lajita
ES,28.1855,-16.4279,
ES,28.1857,-17.3289,La Raja
ES,28.1861,-16.8212,Playa de Fonsalía
ES,28.1868,-14.1371,Playa Laja del Corral
ES,28.1886,-16.4274,
ES,28.189,-17.3252,Playa de Negrín
ES,28.1899,-14.1219,Playa de Tarajalejo
ES,28.1904,-16.8235,Playa de los Tarajales
ES,28.1908,-17.1894,Playa de Agulo
ES,28.1917,-16.4253,Playa Honda
ES,28.1924,-14.1059,
ES,28.193,-14.0941,
ES,28.1936,-16.4228,Playa de Las Eras
ES,28.194,-14.0926,
ES,28.1943,-17.1934,Playita del Pescante de Agulo
ES,28.1948,-14.0972,Playa de Caracol
ES,28.1953,-16.8265,Playa la Carrera
ES,28.1964,-16.8269,Playa de los Topos
ES,28.1981,-16.8281,Playa de Baja Larga
ES,28.1983,-17.1969,Playa San Marcos
ES,28.1997,-16.8279,Playa de Alcalá
ES,28.2,-16.8278,Playa de Mendez
ES,28.2006,-17.2333,Callao Largo
ES,28.2006,-16.8286,
ES,28.2008,-17.2441,Playa de la Sepultura
ES,28.2008,-14.0742,Playa de Giniginamar
ES,28.2022,-17.318,Cueva de Bejira
ES,28.2026,-17.3104,Playa de Santa Catalina
ES,28.203,-14.051,Playa de Agando
ES,28.2031,-17.2521,Playa de Vallehermoso
ES,28.2038,-17.3056,
ES,28.2046,-16.8339,
ES,28.2064,-17.3022,
ES,28.2066,-16.8348,
ES,28.2069,-16.8356,
ES,28.207,-17.2949,Playa del Arguamul
ES,28.207,-16.8362,
ES,28.2075,-14.0311,Playa del Aceituno
ES,28.2078,-17.299,Playa de Arguamul
ES,28.2092,-17.2899,Playa del Remo
ES,28.2113,-14.0189,Playa de Gran Tarajal
ES,28.2126,-14.2259,Playa del Viejo Rey
ES,28.2139,-16.8365,Playa de Punta Blanca
ES,28.2143,-17.273,
ES,28.2148,-17.2742,Playa del Ancón Grande
ES,28.2153,-16.4175,Playa Zapata
ES,28.2171,-17.2674,Playa de Ancón Chico
ES,28.2178,-16.4152,Playa del Chinchorro
ES,28.2182,-14.2211,Playa de la Pared
ES,28.2189,-16.4146,Playa del Chinchorro
ES,28.2197,-16.4141,Playa del Roque
ES,28.2204,-16.4134,Fondeadero de Fasnia
