municipality,eur_m2,period,source
"Ejido, El",5.26,2024,SERPAVI
"Mojonera, La",4.06,2024,SERPAVI
Balanegra,4.21,2024,SERPAVI
"Adrada, La",4.05,2024,SERPAVI
Arenas de San Pedro,4.38,2024,SERPAVI
Arévalo,4.17,2024,SERPAVI
Ávila,5.92,2024,SERPAVI
"Barco de Ávila, El",3.99,2024,SERPAVI
"Barraco, El",3.2,2024,SERPAVI
Burgohondo,3.06,2024,SERPAVI
Candeleda,3.79,2024,SERPAVI
Casavieja,3.16,2024,SERPAVI
Casillas,2.78,2024,SERPAVI
Cebreros,3.96,2024,SERPAVI
"Colilla, La",3.2,2021,SERPAVI
Cuevas del Valle,3.36,2024,SERPAVI
Fontiveros,2.73,2021,SERPAVI
"Fresno, El",4.25,2024,SERPAVI
Guisando,3.45,2024,SERPAVI
Herradón de Pinares,2.94,2024,SERPAVI
"Hoyo de Pinares, El",3.6,2024,SERPAVI
Madrigal de las Altas Torres,2.01,2023,SERPAVI
Maello,4.97,2024,SERPAVI
Mijares,2.88,2024,SERPAVI
Mingorría,4.25,2024,SERPAVI
Mombeltrán,3.52,2024,SERPAVI
Navalperal de Pinares,3.31,2024,SERPAVI
Navaluenga,3.26,2024,SERPAVI
Navarredonda de Gredos,4.22,2022,SERPAVI
"Navas del Marqués, Las",4.67,2024,SERPAVI
Pedro Bernardo,2.65,2024,SERPAVI
Peguerinos,4.28,2024,SERPAVI
Piedrahíta,3.62,2024,SERPAVI
Piedralaves,4.27,2024,SERPAVI
Sanchidrián,3.64,2024,SERPAVI
San Esteban del Valle,2.7,2024,SERPAVI
San Pedro del Arroyo,2.83,2022,SERPAVI
Santa María del Tiétar,3.46,2024,SERPAVI
Sotillo de la Adrada,3.93,2024,SERPAVI
"Tiemblo, El",3.95,2024,SERPAVI
Tornadizos de Ávila,4.42,2024,SERPAVI
Aceuchal,3.04,2024,SERPAVI
Alange,2.73,2024,SERPAVI
"Albuera, La",3.29,2024,SERPAVI
Alburquerque,3.13,2024,SERPAVI
Almendralejo,3.71,2024,SERPAVI
Arroyo de San Serván,3.4,2024,SERPAVI
Azuaga,2.83,2024,SERPAVI
Badajoz,5.89,2024,SERPAVI
Barcarrota,2.49,2024,SERPAVI
Berlanga,3.06,2024,SERPAVI
Burguillos del Cerro,2.36,2024,SERPAVI
Cabeza del Buey,2.44,2024,SERPAVI
Calamonte,3.39,2024,SERPAVI
Campanario,1.87,2024,SERPAVI
Casas de Don Pedro,2.18,2024,SERPAVI
Castuera,2.64,2024,SERPAVI
"Codosera, La",1.98,2024,SERPAVI
"Coronada, La",1.96,2023,SERPAVI
Don Benito,4.32,2024,SERPAVI
Fregenal de la Sierra,3.54,2024,SERPAVI
Fuente de Cantos,3.09,2024,SERPAVI
Fuente del Maestre,2.69,2024,SERPAVI
Fuentes de León,2.59,2024,SERPAVI
Granja de Torrehermosa,2.16,2024,SERPAVI
Guareña,3.43,2024,SERPAVI
Herrera del Duque,3.28,2024,SERPAVI
Higuera la Real,2.87,2024,SERPAVI
Hornachos,2.02,2024,SERPAVI
Jerez de los Caballeros,3.39,2024,SERPAVI
Lobón,3.09,2024,SERPAVI
Llerena,3.79,2024,SERPAVI
Mérida,5.11,2024,SERPAVI
Monesterio,3.17,2024,SERPAVI
Monterrubio de la Serena,1.52,2024,SERPAVI
Montijo,3.57,2024,SERPAVI
Navalvillar de Pela,2.21,2024,SERPAVI
Oliva de la Frontera,1.99,2024,SERPAVI
Olivenza,3.61,2024,SERPAVI
Orellana la Vieja,3.92,2024,SERPAVI
Puebla de Alcocer,1.72,2024,SERPAVI
Puebla de la Calzada,3.38,2024,SERPAVI
Puebla de Sancho Pérez,2.54,2024,SERPAVI
Quintana de la Serena,1.74,2024,SERPAVI
Ribera del Fresno,2.71,2024,SERPAVI
Santa Amalia,2.56,2024,SERPAVI
Santa Marta,2.92,2024,SERPAVI
"Santos de Maimona, Los",3.24,2024,SERPAVI
San Vicente de Alcántara,2.43,2024,SERPAVI
Siruela,2.09,2024,SERPAVI
Solana de los Barros,1.82,2024,SERPAVI
Talarrubias,2.11,2024,SERPAVI
Talavera la Real,3.67,2024,SERPAVI
Trujillanos,2.9,2024,SERPAVI
Valverde de Leganés,3.02,2024,SERPAVI
Villafranca de los Barros,3.49,2024,SERPAVI
Villanueva de la Serena,3.78,2024,SERPAVI
Villanueva del Fresno,2.29,2024,SERPAVI
Villar del Rey,2.55,2024,SERPAVI
Zafra,4.71,2024,SERPAVI
Zalamea de la Serena,2.17,2024,SERPAVI
"Zarza, La",2.39,2024,SERPAVI
Valdelacalzada,2.57,2024,SERPAVI
Pueblonuevo del Guadiana,2.78,2024,SERPAVI
Guadiana,2.45,2024,SERPAVI
Alaró,7.8,2024,SERPAVI
Alaior,6.97,2024,SERPAVI
Alcúdia,8.11,2024,SERPAVI
Algaida,6.16,2024,SERPAVI
Andratx,9.27,2024,SERPAVI
Artà,6.12,2024,SERPAVI
Banyalbufar,10.19,2024,SERPAVI
Binissalem,7.06,2024,SERPAVI
Búger,5.06,2024,SERPAVI
Bunyola,7.55,2024,SERPAVI
Calvià,12.72,2024,SERPAVI
Campanet,5.88,2024,SERPAVI
Campos,7.43,2024,SERPAVI
Capdepera,8.31,2024,SERPAVI
Ciutadella de Menorca,7.79,2024,SERPAVI
Consell,6.47,2024,SERPAVI
Costitx,5.83,2024,SERPAVI
Deyá,7.67,2024,SERPAVI
Esporles,8.62,2024,SERPAVI
Estellencs,6.32,2024,SERPAVI
Felanitx,6.25,2024,SERPAVI
Ferreries,5.52,2024,SERPAVI
Formentera,13.57,2024,SERPAVI
Fornalutx,6.85,2024,SERPAVI
Eivissa,12.67,2024,SERPAVI
Inca,7.0,2024,SERPAVI
Lloret de Vistalegre,5.65,2024,SERPAVI
Lloseta,5.82,2024,SERPAVI
Llubí,5.3,2024,SERPAVI
Llucmajor,10.09,2024,SERPAVI
Maó,6.89,2024,SERPAVI
Manacor,6.25,2024,SERPAVI
Mancor de la Vall,6.11,2024,SERPAVI
Maria de la Salut,6.78,2024,SERPAVI
Marratxí,9.09,2024,SERPAVI
"Mercadal, Es",7.13,2024,SERPAVI
Montuïri,7.28,2024,SERPAVI
Muro,6.9,2024,SERPAVI
Palma,9.84,2024,SERPAVI
Petra,4.57,2024,SERPAVI
Pollença,7.87,2024,SERPAVI
Porreres,6.46,2024,SERPAVI
"Pobla, Sa",5.88,2024,SERPAVI
Puigpunyent,6.65,2024,SERPAVI
Sant Antoni de Portmany,11.98,2024,SERPAVI
Sencelles,7.26,2024,SERPAVI
Sant Josep de sa Talaia,14.63,2024,SERPAVI
Sant Joan,6.67,2024,SERPAVI
Sant Joan de Labritja,12.13,2024,SERPAVI
Sant Llorenç des Cardassar,8.24,2024,SERPAVI
Sant Lluís,7.34,2024,SERPAVI
Santa Eugènia,6.29,2024,SERPAVI
Santa Eulalia del Río,12.9,2024,SERPAVI
Santa Margalida,8.18,2024,SERPAVI
Santa María del Camí,7.74,2024,SERPAVI
Santanyí,7.39,2024,SERPAVI
Selva,5.7,2024,SERPAVI
"Salines, Ses",7.99,2024,SERPAVI
Sineu,7.14,2024,SERPAVI
Sóller,8.46,2024,SERPAVI
Son Servera,6.82,2024,SERPAVI
Valldemossa,7.59,2024,SERPAVI
"Castell, Es",8.05,2024,SERPAVI
Vilafranca de Bonany,6.9,2024,SERPAVI
Ariany,4.58,2024,SERPAVI
"Migjorn Gran, Es",6.25,2024,SERPAVI
Abrera,7.86,2024,SERPAVI
Aguilar de Segarra,1.39,2022,SERPAVI
Alella,12.71,2024,SERPAVI
Alpens,4.34,2024,SERPAVI
"Ametlla del Vallès, L'",9.53,2024,SERPAVI
Arenys de Mar,8.52,2024,SERPAVI
Arenys de Munt,8.04,2024,SERPAVI
Argentona,8.91,2024,SERPAVI
Artés,5.9,2024,SERPAVI
Avià,4.77,2024,SERPAVI
Avinyó,4.93,2024,SERPAVI
Avinyonet del Penedès,5.16,2024,SERPAVI
Aiguafreda,6.21,2024,SERPAVI
Badalona,10.17,2024,SERPAVI
Bagà,5.28,2024,SERPAVI
Balenyà,6.61,2024,SERPAVI
Balsareny,5.69,2024,SERPAVI
Barcelona,13.68,2024,SERPAVI
Begues,10.16,2024,SERPAVI
Berga,4.84,2024,SERPAVI
Bigues i Riells,7.97,2024,SERPAVI
Borredà,3.25,2024,SERPAVI
"Bruc, El",9.95,2024,SERPAVI
"Cabanyes, Les",5.73,2024,SERPAVI
Cabrera d'Anoia,6.8,2024,SERPAVI
Cabrera de Mar,11.33,2024,SERPAVI
Cabrils,9.85,2024,SERPAVI
Calaf,4.38,2024,SERPAVI
Caldes d'Estrac,9.9,2024,SERPAVI
Caldes de Montbui,8.36,2024,SERPAVI
Calders,3.62,2024,SERPAVI
Calella,8.09,2024,SERPAVI
Calldetenes,6.76,2024,SERPAVI
Callús,5.97,2024,SERPAVI
Campins,6.88,2024,SERPAVI
Canet de Mar,8.47,2024,SERPAVI
Canovelles,7.64,2024,SERPAVI
Cànoves i Samalús,7.2,2024,SERPAVI
Canyelles,9.72,2024,SERPAVI
Capellades,5.5,2024,SERPAVI
Cardedeu,8.68,2024,SERPAVI
Cardona,4.02,2024,SERPAVI
Carme,3.6,2024,SERPAVI
Casserres,4.62,2024,SERPAVI
Castellar del Vallès,7.86,2024,SERPAVI
Castellbell i el Vilar,6.3,2024,SERPAVI
Castellbisbal,8.32,2024,SERPAVI
Castellcir,5.97,2024,SERPAVI
Castelldefels,12.8,2024,SERPAVI
Castellet i la Gornal,5.86,2024,SERPAVI
Castellgalí,7.64,2024,SERPAVI
Castellnou de Bages,5.54,2024,SERPAVI
Castellolí,5.7,2022,SERPAVI
Castellterçol,5.87,2024,SERPAVI
Castellví de la Marca,5.25,2024,SERPAVI
Castellví de Rosanes,7.91,2024,SERPAVI
Centelles,6.96,2024,SERPAVI
Cervelló,8.97,2024,SERPAVI
Collbató,7.55,2024,SERPAVI
Collsuspina,3.02,2023,SERPAVI
Corbera de Llobregat,8.21,2024,SERPAVI
Cornellà de Llobregat,11.34,2024,SERPAVI
Cubelles,9.11,2024,SERPAVI
Dosrius,8.67,2024,SERPAVI
Esparreguera,7.99,2024,SERPAVI
Esplugues de Llobregat,12.93,2024,SERPAVI
"Estany, L'",7.65,2024,SERPAVI
Fogars de Montclús,3.38,2024,SERPAVI
Fogars de la Selva,5.94,2024,SERPAVI
Folgueroles,7.62,2024,SERPAVI
Fonollosa,5.0,2024,SERPAVI
Font-rubí,3.69,2024,SERPAVI
"Franqueses del Vallès, Les",9.22,2024,SERPAVI
"Garriga, La",8.9,2024,SERPAVI
Gavà,10.46,2024,SERPAVI
Gelida,7.64,2024,SERPAVI
Gironella,4.5,2024,SERPAVI
"Granada, La",6.78,2024,SERPAVI
Granollers,8.73,2024,SERPAVI
Gualba,6.16,2024,SERPAVI
Sant Salvador de Guardiola,7.29,2024,SERPAVI
Guardiola de Berguedà,5.06,2024,SERPAVI
Gurb,4.81,2024,SERPAVI
"Hospitalet de Llobregat, L'",13.0,2024,SERPAVI
Igualada,6.62,2024,SERPAVI
Jorba,7.23,2024,SERPAVI
"Llacuna, La",5.48,2024,SERPAVI
"Llagosta, La",8.66,2024,SERPAVI
Llinars del Vallès,8.31,2024,SERPAVI
Lliçà d'Amunt,8.38,2024,SERPAVI
Lliçà de Vall,8.29,2024,SERPAVI
Lluçà,3.28,2024,SERPAVI
Malgrat de Mar,7.59,2024,SERPAVI
Malla,2.48,2020,SERPAVI
Manlleu,5.33,2024,SERPAVI
Manresa,6.32,2024,SERPAVI
Martorell,7.94,2024,SERPAVI
Martorelles,7.69,2024,SERPAVI
"Masies de Roda, Les",3.89,2024,SERPAVI
"Masies de Voltregà, Les",5.51,2024,SERPAVI
"Masnou, El",10.33,2024,SERPAVI
Masquefa,7.69,2024,SERPAVI
Matadepera,10.02,2024,SERPAVI
Mataró,8.93,2024,SERPAVI
Mediona,4.26,2024,SERPAVI
Molins de Rei,9.75,2024,SERPAVI
Mollet del Vallès,8.44,2024,SERPAVI
Montcada i Reixac,8.91,2024,SERPAVI
Montgat,10.95,2024,SERPAVI
Monistrol de Montserrat,6.69,2024,SERPAVI
Monistrol de Calders,5.0,2024,SERPAVI
Muntanyola,5.56,2024,SERPAVI
Montesquiu,5.57,2024,SERPAVI
Montmajor,2.67,2024,SERPAVI
Figaró-Montmany,6.34,2024,SERPAVI
Montmeló,7.77,2024,SERPAVI
Montornès del Vallès,7.96,2024,SERPAVI
Montseny,7.79,2024,SERPAVI
Moià,6.23,2024,SERPAVI
Navarcles,6.27,2024,SERPAVI
Navàs,5.17,2024,SERPAVI
"Nou de Berguedà, La",2.29,2022,SERPAVI
Òdena,7.18,2024,SERPAVI
Olvan,5.18,2024,SERPAVI
Olèrdola,8.26,2024,SERPAVI
Olesa de Bonesvalls,6.49,2024,SERPAVI
Olesa de Montserrat,8.07,2024,SERPAVI
Olivella,8.27,2024,SERPAVI
Olost,5.26,2024,SERPAVI
Oristà,2.46,2024,SERPAVI
Òrrius,7.17,2024,SERPAVI
Pacs del Penedès,6.5,2024,SERPAVI
Palafolls,8.42,2024,SERPAVI
Palau-solità i Plegamans,8.45,2024,SERPAVI
Pallejà,9.46,2024,SERPAVI
"Papiol, El",8.41,2024,SERPAVI
Parets del Vallès,8.77,2024,SERPAVI
Perafita,1.95,2024,SERPAVI
Piera,6.86,2024,SERPAVI
"Hostalets de Pierola, Els",6.98,2024,SERPAVI
Pineda de Mar,7.97,2024,SERPAVI
"Pla del Penedès, El",6.68,2024,SERPAVI
"Pobla de Claramunt, La",5.34,2024,SERPAVI
"Pobla de Lillet, La",5.69,2024,SERPAVI
Polinyà,8.66,2024,SERPAVI
Pontons,4.0,2024,SERPAVI
"Prat de Llobregat, El",10.94,2024,SERPAVI
"Prats de Rei, Els",1.42,2023,SERPAVI
Prats de Lluçanès,4.44,2024,SERPAVI
Premià de Mar,9.68,2024,SERPAVI
Puigdàlber,4.04,2024,SERPAVI
Puig-reig,4.65,2024,SERPAVI
Rajadell,5.46,2024,SERPAVI
Rellinars,4.35,2024,SERPAVI
Ripollet,9.38,2024,SERPAVI
"Roca del Vallès, La",8.56,2024,SERPAVI
"Pont de Vilomara i Rocafort, El",5.77,2024,SERPAVI
Roda de Ter,6.54,2024,SERPAVI
Rubí,9.18,2024,SERPAVI
Sabadell,8.57,2024,SERPAVI
Saldes,6.21,2024,SERPAVI
Sallent,6.11,2024,SERPAVI
Santpedor,6.76,2024,SERPAVI
Sant Iscle de Vallalta,6.92,2024,SERPAVI
Sant Adrià de Besòs,11.0,2024,SERPAVI
Sant Andreu de la Barca,8.53,2024,SERPAVI
Sant Andreu de Llavaneres,9.81,2024,SERPAVI
Sant Antoni de Vilamajor,8.38,2024,SERPAVI
Sant Bartomeu del Grau,2.05,2024,SERPAVI
Sant Boi de Llobregat,10.87,2024,SERPAVI
Sant Boi de Lluçanès,4.63,2024,SERPAVI
Sant Celoni,7.44,2024,SERPAVI
